Scenario,UserCount,Algorithm,Throughput_Mbps,Latency_ms,Energy_J,LoadBalance,QoSViolation_%,UserSatisfaction_%
HOTSPOT_SCENARIO,200,Nash Equilibrium,5.09,2.52,2084079.47,0.323,5.35,28.35
HOTSPOT_SCENARIO,200,Stackelberg Game,22.62,7.99,2466171.27,1.173,2.24,92.76
HOTSPOT_SCENARIO,200,Nearest Neighbor,9.97,4.25,1895019.23,0.663,5.82,48.06
HOTSPOT_SCENARIO,200,Random Assignment,34.01,7.80,1895307.86,1.921,8.41,88.28
HOTSPOT_SCENARIO,200,Greedy Assignment,1.69,0.90,1894368.53,0.113,1.72,10.14
HOTSPOT_SCENARIO,200,Load Balanced,4.38,2.20,1896172.83,0.281,4.00,24.84
HOTSPOT_SCENARIO,200,Signal Strength Based,0.07,0.04,1894528.45,0.004,0.17,0.40
URBAN_HOTSPOT,50,Round Robin,7.99,3.43,1263493.96,0.473,4.21,38.95
URBAN_HOTSPOT,50,Auction-based,15.29,7.99,1516049.21,1.005,0.08,92.89
URBAN_HOTSPOT,50,Cooperative Game,500.00,30.18,64397036.39,40.311,100.00,27.47
URBAN_HOTSPOT,50,Nash Equilibrium,2.45,0.96,1390572.76,0.136,0.50,10.96
URBAN_HOTSPOT,50,Stackelberg Game,19.51,7.94,1641370.71,1.091,1.54,90.91
URBAN_HOTSPOT,50,Nearest Neighbor,29.64,8.00,1263160.43,1.333,0.88,93.20
URBAN_HOTSPOT,50,Random Assignment,15.77,8.00,1263106.21,1.017,0.11,90.69
URBAN_HOTSPOT,50,Greedy Assignment,3.39,1.81,1265049.17,0.226,0.56,20.85
URBAN_HOTSPOT,50,Load Balanced,17.73,8.00,1263400.07,1.097,0.48,92.85
URBAN_HOTSPOT,50,Signal Strength Based,5.67,3.02,1263035.95,0.378,1.06,34.88
URBAN_HOTSPOT,100,Round Robin,9.31,4.09,1404657.58,0.548,1.61,47.11
URBAN_HOTSPOT,100,Auction-based,1.02,0.54,1685017.95,0.068,0.14,6.24
